English,Japanese
abbreviation,略語
abdomen,腹部
abdominal,a〉1_腹の、腹部の 2_腹式の
abdominalgia,腹痛
abdominocentesis,腹部穿刺
abdominogenital,a〉腹部性器の
abdominoperineal,a〉腹部会陰の
abdominoplasty,腹部形成
abduction,外転
abductor,《解》外転筋
aberrant,a〉1_常軌をはずれた、異常の 2_迷入(性)の
aberratio,1_収差 2_迷入 3_異常
aberration,1_常軌をはずれること、異常、逸脱、異常な性行為 2_《理化》収差 3_《生物》異常型 4_〔動物学〕異常
aberrationist,異常行動者
ability,能力、〜能
abiogenesis,偶然発生
abiotic,a〉非生物の
ablactation,離乳
ablatio,1_完全切除、切除 2_切断、剥離、離断
ablation,1_完全切除、切除 2_切断、剥離、離断
ablepharia,無眼瞼(症)
ablepsia,視覚消失(症)
abnormal,a〉異常な
abnormality,異常
abortifacient,妊娠中絶薬
abortion,1_流産 2_中断、不発
abortive,a〉流産の、早産の、妊娠中絶の n〉妊娠中絶薬
abrachia,無腕(症)
abrasion,1_剥離、剥脱、擦過傷 2_《歯》磨耗(症) 3_《理化》摩耗
abrasive,a〉研磨の、研磨用の n〉研磨材
abscess,膿瘍
abscission,切除
absence,1_不在、欠席 2_欠如 3_放心、意識喪失
absolute,a〉絶対の、絶対的な
absorbability,吸収性
absorbance,吸収度、吸光度
absorbed,a〉吸収の、吸着の
absorbent,吸収剤
absorption,吸収、吸着
absorptive,a〉吸収(性)の
abstinence,禁欲、禁酒
abstinency,禁欲、禁酒
abstinent,a〉禁欲の、禁酒の
abstract,抄録
abulia,無為
abuse,1_乱用 2_虐待
abutment,《歯》支台、橋脚
acantholysis,棘細胞層離開、棘細胞層融解
acanthoma,棘細胞腫
acanthosis,棘細胞症、表皮腫
acarbose,アカルボース
acardia,無心症
acatamathesia,感覚性忘失
acceleration,加速
accelerator,促進因子、促進物質、促進神経、加速器
acceleromyograph,加速度感知型筋弛緩モニター
accelometry,加速度計測
accessional,a〉《歯》加生の
accessory,a〉副の、付属の、補助的な
accident,1_事故 2_発作
accidental,a〉事故の、偶発的な
accommodation,1_収容 2_調和、順応 3_適応
account,1_計数 2_銀行口座 3_アカウント<インターネットの> 4_説明
accretion,添加
accumulation,蓄積、累積、集積
accurate,a〉正確な、的確な、精密な、綿密な
acellular,a〉無細胞(性)の
acetabular,a〉寛骨臼の、股臼の
acetabulum,1_《解》寛骨臼、股臼 2_〔動〕吸盤 3_〔虫〕関節陥
acetate,酢酸塩
acetic,a〉酢酸の
acetone,アセトン
acetyl,アセチル基
acetylation,アセチル化
achalasia,1_アカラジア、無弛緩症 2_アカラジア、非閉塞型巨大尿管(症) 3_痙攣
acheilia,無口唇(症)、口唇欠損(症)
acheiropodia,無手足(症)
acheiropody,無手足(症)
achillobursitis,アキレス腱滑液包炎
achillodynia,アキレス腱痛
achillorrhaphy,アキレス腱縫合(術)
achillotenotomy,アキレス腱切開(術)
achloropsia,緑色盲
acholia,無胆汁症
